source	target	edge
Remove Supernatant And Redisperse-1180	robot arm	has_property
Remove Supernatant And Redisperse-1180-robot arm	None	has_value
Remove Supernatant And Redisperse-1180	capper decapper	has_property
Remove Supernatant And Redisperse-1180-capper decapper	None	has_value
Remove Supernatant And Redisperse-1180	purging volume	has_property
Remove Supernatant And Redisperse-1180-purging volume	30mL	has_value
Remove Supernatant And Redisperse-1180	bottom clearance withdrawing	has_property
Remove Supernatant And Redisperse-1180-bottom clearance withdrawing	None	has_value
Remove Supernatant And Redisperse-1180	bottom clearance dispensing	has_property
Remove Supernatant And Redisperse-1180-bottom clearance dispensing	None	has_value
Remove Supernatant And Redisperse-1180	bottom clearance sonication	has_property
Remove Supernatant And Redisperse-1180-bottom clearance sonication	None	has_value
Chemical-DMF-1246	container	has_property
Chemical-DMF-1246-container	DMF_Container	has_value
Chemical-DMF-1246	lookup missing values	has_property
Chemical-DMF-1246-lookup missing values	True	has_value
Chemical-DMF-1246	name	has_property
Chemical-DMF-1246-name	DMF	has_value
Chemical-DMF-1246	lot number	has_property
Chemical-DMF-1246-lot number		has_value
Chemical-DMF-1246	supplier	has_property
Chemical-DMF-1246-supplier		has_value
Chemical-DMF-1246	cas	has_property
Chemical-DMF-1246-cas		has_value
Chemical-DMF-1246	smiles	has_property
Chemical-DMF-1246-smiles		has_value
Chemical-DMF-1246	density	has_property
Chemical-DMF-1246-density	None	has_value
Chemical-DMF-1246	molar mass	has_property
Chemical-DMF-1246-molar mass	None	has_value
Chemical-DMF-1246	mass	has_property
Chemical-DMF-1246-mass	None	has_value
Chemical-DMF-1246	molar amount	has_property
Chemical-DMF-1246-molar amount	None	has_value
Chemical-DMF-1246	concentration	has_property
Chemical-DMF-1246-concentration	None	has_value
Chemical-DMF-1246	mass concentration	has_property
Chemical-DMF-1246-mass concentration	None	has_value
Chemical-DMF-1246	volume	has_property
Chemical-DMF-1246-volume	30.0 mL	has_value
Chemical-DMF-1246	is stock solution	has_property
Chemical-DMF-1246-is stock solution	False	has_value
Container-ZrOCl2_Container	current hardware	has_property
Container-ZrOCl2_Container-current hardware	ot2_holder_15ml	has_value
Container-ZrOCl2_Container	deck position	has_property
Container-ZrOCl2_Container-deck position	0	has_value
Container-ZrOCl2_Container	slot number	has_property
Container-ZrOCl2_Container-slot number	1	has_value
Container-ZrOCl2_Container	name	has_property
Container-ZrOCl2_Container-name	ZrOCl2_Container	has_value
Container-ZrOCl2_Container	current volume	has_property
Container-ZrOCl2_Container-current volume	15 mL	has_value
Container-ZrOCl2_Container	max volume	has_property
Container-ZrOCl2_Container-max volume	None	has_value
Container-ZrOCl2_Container	container type	has_property
Container-ZrOCl2_Container-container type	FALCON_TUBE_15_ML	has_value
Container-ZrOCl2_Container	has stirbar	has_property
Container-ZrOCl2_Container-has stirbar	False	has_value
Container-ZrOCl2_Container	is capped	has_property
Container-ZrOCl2_Container-is capped	False	has_value
Container-DMF_Container_Falcon_Tube	current hardware	has_property
Container-DMF_Container_Falcon_Tube-current hardware	ot2_holder_15ml	has_value
Container-DMF_Container_Falcon_Tube	deck position	has_property
Container-DMF_Container_Falcon_Tube-deck position	0	has_value
Container-DMF_Container_Falcon_Tube	slot number	has_property
Container-DMF_Container_Falcon_Tube-slot number	2	has_value
Container-DMF_Container_Falcon_Tube	name	has_property
Container-DMF_Container_Falcon_Tube-name	DMF_Container_Falcon_Tube	has_value
Container-DMF_Container_Falcon_Tube	current volume	has_property
Container-DMF_Container_Falcon_Tube-current volume	15 mL	has_value
Container-DMF_Container_Falcon_Tube	max volume	has_property
Container-DMF_Container_Falcon_Tube-max volume	None	has_value
Container-DMF_Container_Falcon_Tube	container type	has_property
Container-DMF_Container_Falcon_Tube-container type	FALCON_TUBE_15_ML	has_value
